1,29.2,18.29
2,29.2,18.21
3,29.2,18.12
4,29.2,18.05
5,29.2,18.02
6,29.2,18
7,29.2,17.94
8,29.2,17.88
9,29.2,17.82
10,29.2,17.78
11,29.2,17.73
12,29.2,17.68
13,29.2,17.69
14,29.2,17.6
15,29.2,17.53
16,29.2,17.52
17,29.2,17.45
18,29.2,17.42
19,29.2,17.39
20,29.2,17.33
21,29.2,17.33
22,29.2,17.27
23,29.2,17.18
24,29.2,17.14
25,29.2,17.1
26,29.2,17.07
27,29.2,17.03
28,29.2,16.99
29,29.2,16.96
30,29.2,16.92
31,29.2,16.89
32,29.2,16.87
33,29.2,16.83
34,29.2,16.78
35,29.2,16.77
36,29.2,16.74
37,29.2,16.71
38,29.2,16.71
39,29.2,16.66
40,29.2,16.62
41,29.2,16.62
42,29.2,16.6
43,29.2,16.54
44,29.2,16.53
45,29.2,16.51
46,29.2,16.46
47,29.2,16.43
48,29.2,16.43
49,29.2,16.39
50,29.2,16.38
51,29.2,16.34
52,29.2,16.32
53,29.2,16.29
54,29.2,16.28
55,29.2,16.26
56,29.2,16.23
57,29.2,16.21
58,29.2,16.18
59,29.2,16.15
60,29.2,16.13
61,29.2,16.12
62,29.2,16.1
63,29.2,16.08
64,29.2,16.03
65,29.2,16.06
66,29.2,16.04
67,29.2,16.04
68,29.2,15.98
69,29.2,16.02
70,29.2,16
71,28.99,15.86
72,28.61,15.74
73,28.46,15.36
74,28.09,15.07
75,27.62,14.89
76,27.49,14.6
77,27.35,14.37
78,27.19,13.27
79,27.2,14.07
80,27.17,14.07
81,27.16,14.07
82,27.15,14.12
83,27.18,14.31
84,27.17,13.9
85,27.48,14.95
86,27.83,15.2
87,27.78,14.31
88,27.58,14.62
89,27.38,14.34
90,27.21,13.98
91,27.09,13.55
92,26.89,12.32
93,26.93,13.39
94,26.97,13.52
95,26.9,13.06
96,26.85,12.93
97,26.84,13.03
98,26.82,13.05
99,26.84,13.17
100,26.83,13.18
101,26.83,13.16
102,26.8,12.94
103,26.74,12.49
104,26.67,12.19
105,26.63,11.88
106,26.56,11.58
107,26.51,11.35
108,26.47,11.34
109,26.45,11.42
110,26.44,11.55
111,26.44,11.64
112,26.43,11.64
113,26.43,11.82
114,26.46,12.24
115,26.49,12.52
116,26.52,12.48
117,26.5,12.18
118,26.48,12.11
119,26.5,12.55
120,26.63,13.65
121,26.86,14.56
122,27.25,14.81
123,27.17,14.25
124,27.1,14.41
125,27.14,14.06
126,26.98,13.89
127,27.22,14.61
128,27.49,14.62
129,27.31,14.22
130,27.04,13.59
131,26.85,12.63
132,26.8,12.82
133,26.81,13.02
134,26.81,13.03
135,26.8,13.04
136,26.8,13.09
137,26.75,12.64
138,26.65,11.92
139,26.6,12.05
140,26.62,12.48
141,26.64,12.64
142,26.63,12.5
143,26.59,12.16
144,26.53,11.76
145,26.48,11.44
146,26.42,11.17
147,26.39,11.25
148,26.38,11.46
149,26.37,11.33
150,26.35,11.15
151,26.31,10.89
152,26.27,10.55
153,26.22,10.21
154,26.19,10.05
155,26.15,9.87
156,26.13,9.9
157,26.11,10.01
158,26.11,10.16
159,26.1,10.03
160,26.06,9.33
161,25.99,8.33
162,25.94,7.71
163,25.89,7.59
164,25.89,8.15
165,25.92,8.99
166,25.92,8.99
167,25.93,9.29
168,25.97,10.23
169,25.99,10.45
170,26.02,10.64
171,26.06,11.41
172,26.1,11.86
173,26.1,11.22
174,26.07,10.45
175,26.04,10.13
176,26.04,10.51
177,26.05,10.87
178,26.04,10.47
179,25.99,9.51
180,25.94,8.97
181,25.9,8.42
182,25.85,7.61
183,25.79,6.87
184,25.75,6.32
185,25.72,5.96
186,25.7,5.88
187,25.69,5.95
188,25.69,6.04
189,25.69,6.15
190,25.69,6.24
191,25.68,5.93
192,25.65,5.51
193,25.64,5.46
194,25.65,5.8
195,25.66,6.12
196,25.67,6.35
197,25.66,6.1
198,25.66,6.18
199,25.66,6.33
200,25.67,6.6
201,25.69,7.19
202,25.73,7.99
203,25.76,8.51
204,25.77,8.51
205,25.76,8.03
206,25.74,7.64
207,25.74,7.8
208,25.74,7.78
209,25.72,7.64
210,25.71,7.52
211,25.71,7.67
212,25.72,7.78
213,25.72,7.81
214,25.72,8.03
215,25.74,8.32
216,25.76,8.76
217,25.77,8.9
218,25.78,9.16
219,25.8,9.64
220,25.83,10.33
221,25.87,10.94
222,25.9,11.19
223,25.9,10.67
224,25.85,9.07
225,25.78,8.14
226,25.75,8.33
227,25.76,8.68
228,25.75,8.54
229,25.75,8.62
230,25.75,8.58
231,25.72,7.8
232,25.68,6.96
233,25.64,6.43
234,25.61,6.23
235,25.61,6.52
236,25.63,6.78
237,25.62,6.63
238,25.6,6.37
239,25.59,6.11
240,25.58,5.94
241,25.57,5.81
242,25.57,5.83
243,25.58,6.14
244,25.58,6.45
245,25.59,6.48
246,25.59,6.49
247,25.58,6.42
248,25.59,6.58
249,25.59,6.5
250,25.58,6.39
251,25.57,6.14
252,25.55,5.82
